,urls
213,https://www.spotahome.com/barcelona/for-rent:apartments/268557
214,https://www.spotahome.com/barcelona/for-rent:apartments/638212
215,https://www.spotahome.com/barcelona/for-rent:apartments/102166
216,https://www.spotahome.com/barcelona/for-rent:apartments/201461
217,https://www.spotahome.com/barcelona/for-rent:apartments/220778
218,https://www.spotahome.com/barcelona/for-rent:apartments/88614
219,https://www.spotahome.com/barcelona/for-rent:apartments/1011759
220,https://www.spotahome.com/barcelona/for-rent:apartments/724418
221,https://www.spotahome.com/barcelona/for-rent:apartments/768078
222,https://www.spotahome.com/barcelona/for-rent:apartments/415603
223,https://www.spotahome.com/barcelona/for-rent:apartments/999300
224,https://www.spotahome.com/barcelona/for-rent:apartments/156207
225,https://www.spotahome.com/barcelona/for-rent:apartments/614212
226,https://www.spotahome.com/barcelona/for-rent:apartments/132019
227,https://www.spotahome.com/barcelona/for-rent:apartments/782458
228,https://www.spotahome.com/barcelona/for-rent:apartments/201336
229,https://www.spotahome.com/barcelona/for-rent:apartments/279217
230,https://www.spotahome.com/barcelona/for-rent:apartments/144105
231,https://www.spotahome.com/barcelona/for-rent:apartments/1050444
232,https://www.spotahome.com/barcelona/for-rent:apartments/353863
233,https://www.spotahome.com/barcelona/for-rent:apartments/760173
234,https://www.spotahome.com/barcelona/for-rent:apartments/1085947
235,https://www.spotahome.com/barcelona/for-rent:apartments/913031
236,https://www.spotahome.com/barcelona/for-rent:apartments/85944
237,https://www.spotahome.com/barcelona/for-rent:apartments/621349
238,https://www.spotahome.com/barcelona/for-rent:apartments/154357
239,https://www.spotahome.com/barcelona/for-rent:apartments/915985
240,https://www.spotahome.com/barcelona/for-rent:apartments/433931
241,https://www.spotahome.com/barcelona/for-rent:apartments/86645
242,https://www.spotahome.com/barcelona/for-rent:apartments/977172
243,https://www.spotahome.com/barcelona/for-rent:apartments/379178
244,https://www.spotahome.com/barcelona/for-rent:apartments/458911
245,https://www.spotahome.com/barcelona/for-rent:apartments/917058
246,https://www.spotahome.com/barcelona/for-rent:apartments/760902
247,https://www.spotahome.com/barcelona/for-rent:apartments/650167
248,https://www.spotahome.com/barcelona/for-rent:apartments/148772
249,https://www.spotahome.com/barcelona/for-rent:apartments/1083755
250,https://www.spotahome.com/barcelona/for-rent:apartments/265384
251,https://www.spotahome.com/barcelona/for-rent:apartments/1089780
252,https://www.spotahome.com/barcelona/for-rent:apartments/85661
253,https://www.spotahome.com/barcelona/for-rent:apartments/652414
254,https://www.spotahome.com/barcelona/for-rent:apartments/992684
255,https://www.spotahome.com/barcelona/for-rent:apartments/917275
256,https://www.spotahome.com/barcelona/for-rent:apartments/928102
257,https://www.spotahome.com/barcelona/for-rent:apartments/472020
258,https://www.spotahome.com/barcelona/for-rent:apartments/610683
259,https://www.spotahome.com/barcelona/for-rent:apartments/405200
260,https://www.spotahome.com/barcelona/for-rent:apartments/134926
261,https://www.spotahome.com/barcelona/for-rent:apartments/305558
262,https://www.spotahome.com/barcelona/for-rent:apartments/749634
263,https://www.spotahome.com/barcelona/for-rent:apartments/985691
264,https://www.spotahome.com/barcelona/for-rent:apartments/1183218
265,https://www.spotahome.com/barcelona/for-rent:apartments/1085595
266,https://www.spotahome.com/barcelona/for-rent:apartments/1175741
267,https://www.spotahome.com/barcelona/for-rent:apartments/610736
268,https://www.spotahome.com/barcelona/for-rent:apartments/154840
